mes,vendedor_id,meta_valor
2025-01,1001,165596
2025-01,1002,181750
2025-01,1003,107462
2025-01,1004,87921
2025-01,1005,212372
2025-01,1006,244355
2025-01,1007,99371
2025-01,1008,150098
2025-01,1009,187008
2025-01,1010,244112
2025-01,1011,179172
2025-01,1012,224221
2025-01,1013,150220
2025-01,1014,127465
2025-01,1015,102599
2025-01,1016,166700
2025-01,1017,85690
2025-01,1018,204291
2025-01,1019,126648
2025-01,1020,90655
2025-01,1021,149640
2025-01,1022,233512
2025-01,1023,164694
2025-01,1024,215850
2025-01,1025,126160
2025-01,1026,115332
2025-01,1027,198147
2025-01,1028,116312
2025-01,1029,219521
2025-01,1030,174613
2025-01,1031,164276
2025-01,1032,152314
2025-01,1033,128535
2025-01,1034,214326
2025-01,1035,156642
2025-01,1036,232747
2025-01,1037,223004
2025-01,1038,198218
2025-01,1039,222557
2025-01,1040,170190
2025-01,1041,113580
2025-01,1042,120234
2025-01,1043,94721
2025-01,1044,111813
2025-01,1045,98228
2025-01,1046,81083
2025-01,1047,231451
2025-01,1048,106958
2025-01,1049,176819
2025-01,1050,145091
2025-01,1051,164769
2025-01,1052,103082
2025-01,1053,224708
2025-01,1054,117308
2025-01,1055,224438
2025-01,1056,102436
2025-01,1057,85384
2025-01,1058,108543
2025-01,1059,214672
2025-01,1060,129549
2025-01,2001,237650
2025-01,2002,131293
2025-01,2003,104556
2025-01,2004,147838
2025-01,2005,181020
2025-01,2006,165205
2025-01,2007,208229
2025-01,2008,194377
2025-01,2009,195944
2025-01,2010,225533
2025-01,2011,187074
2025-01,2012,226659
2025-01,2013,131770
2025-01,2014,164970
2025-01,2015,83202
2025-01,2016,151519
2025-01,2017,215542
2025-01,2018,97600
2025-01,2019,185237
2025-01,2020,193275
2025-01,2021,165647
2025-01,2022,189025
2025-01,2023,244002
2025-01,2024,125646
2025-01,2025,141715
2025-01,2026,127517
2025-01,2027,203065
2025-01,2028,245762
2025-01,2029,149372
2025-01,2030,229945
2025-01,2031,236350
2025-01,2032,226481
2025-01,2033,235888
2025-01,2034,112330
2025-01,2035,244806
2025-01,2036,86694
2025-01,2037,187780
2025-01,2038,118414
2025-01,2039,183991
2025-01,2040,154746
